article_id,current_slug,proposed_slug,current_url,proposed_url,problem_type,collision_status,redirect_required
d6f73b19-8ecd-479d-aafb-a0336ce7689c,a-y-strauss-adds-corporate-partner-jeffrey-s-davis-in-continuing-2026-ex-mu361183,a-y-strauss-adds-corporate-partner-jeffrey-s-davis-in-continuing-2026-ex,https://www.tradeflock.net/news/a-y-strauss-adds-corporate-partner-jeffrey-s-davis-in-continuing-2026-ex-mu361183,https://www.tradeflock.net/news/a-y-strauss-adds-corporate-partner-jeffrey-s-davis-in-continuing-2026-ex,content_key_suffix,OK,yes
87d2111d-ba19-4652-8bcc-3ac332c01735,advanced-packaging-not-the-gpu-die-is-the-new-limiter-fo-y9k9i4,advanced-packaging-not-the-gpu-die-is-the-new-limiter-fo,https://www.tradeflock.net/news/advanced-packaging-not-the-gpu-die-is-the-new-limiter-fo-y9k9i4,https://www.tradeflock.net/news/advanced-packaging-not-the-gpu-die-is-the-new-limiter-fo,content_key_suffix,OK,yes
c676225e-6bde-4891-ad9f-0ed0c0e34f29,aeo-startup-profound-hits-unicorn-valuation-raises-180m-series-d-mu2tyi7y,aeo-startup-profound-hits-unicorn-valuation-raises-180m-series-d,https://www.tradeflock.net/news/aeo-startup-profound-hits-unicorn-valuation-raises-180m-series-d-mu2tyi7y,https://www.tradeflock.net/news/aeo-startup-profound-hits-unicorn-valuation-raises-180m-series-d,content_key_suffix,OK,yes
cf3ce204-9a46-4482-8164-55421a2bc39b,after-years-of-fundraising-colorado-springs-families-open-gigi-s-playhou-mu4asqcn,after-years-of-fundraising-colorado-springs-families-open-gigi-s-playhou,https://www.tradeflock.net/news/after-years-of-fundraising-colorado-springs-families-open-gigi-s-playhou-mu4asqcn,https://www.tradeflock.net/news/after-years-of-fundraising-colorado-springs-families-open-gigi-s-playhou,content_key_suffix,OK,yes
b05610bc-db73-438b-b7bd-7f06a0a6df46,ai-infrastructure-company-cornelis-raises-205m-to-challenge-nvidia-s-net-mu1oh9lj,ai-infrastructure-company-cornelis-raises-205m-to-challenge-nvidia-s-net,https://www.tradeflock.net/news/ai-infrastructure-company-cornelis-raises-205m-to-challenge-nvidia-s-net-mu1oh9lj,https://www.tradeflock.net/news/ai-infrastructure-company-cornelis-raises-205m-to-challenge-nvidia-s-net,content_key_suffix,OK,yes
08941bc6-3846-45ff-b530-ad2cd014088d,ai-pioneers-divide-over-existential-risk-warnings-at-openai-and-anthropi-mu2qfr0j,ai-pioneers-divide-over-existential-risk-warnings-at-openai-and-anthropi,https://www.tradeflock.net/news/ai-pioneers-divide-over-existential-risk-warnings-at-openai-and-anthropi-mu2qfr0j,https://www.tradeflock.net/news/ai-pioneers-divide-over-existential-risk-warnings-at-openai-and-anthropi,content_key_suffix,OK,yes
5df974e4-9ac9-482a-8e7b-89d7ece61855,ai-reshapes-back-to-school-shopping-as-amazon-and-google-capture-consume-mtx0rtk8,ai-reshapes-back-to-school-shopping-as-amazon-and-google-capture-consume,https://www.tradeflock.net/news/ai-reshapes-back-to-school-shopping-as-amazon-and-google-capture-consume-mtx0rtk8,https://www.tradeflock.net/news/ai-reshapes-back-to-school-shopping-as-amazon-and-google-capture-consume,content_key_suffix,OK,yes
ed9f7dd1-20e7-49f8-bd6b-efae9869136c,ai-stocks-slide-after-major-ceos-unite-to-urge-slowdown-mu1fcon8,ai-stocks-slide-after-major-ceos-unite-to-urge-slowdown,https://www.tradeflock.net/news/ai-stocks-slide-after-major-ceos-unite-to-urge-slowdown-mu1fcon8,https://www.tradeflock.net/news/ai-stocks-slide-after-major-ceos-unite-to-urge-slowdown,content_key_suffix,OK,yes
e1da1397-5105-475e-8673-4df9db34902c,amazon-launches-alexa-in-india-with-hindi-support-in-early-access-mu40nvic,amazon-launches-alexa-in-india-with-hindi-support-in-early-access,https://www.tradeflock.net/news/amazon-launches-alexa-in-india-with-hindi-support-in-early-access-mu40nvic,https://www.tradeflock.net/news/amazon-launches-alexa-in-india-with-hindi-support-in-early-access,content_key_suffix,OK,yes
8d742a1d-23bd-4681-a57e-f8a8d0cdc048,amazon-microsoft-and-google-lock-multi-year-gpu-campuses-cg5faq,amazon-microsoft-and-google-lock-multi-year-gpu-campuses,https://www.tradeflock.net/news/amazon-microsoft-and-google-lock-multi-year-gpu-campuses-cg5faq,https://www.tradeflock.net/news/amazon-microsoft-and-google-lock-multi-year-gpu-campuses,content_key_suffix,OK,yes
91f649f8-4a9c-43fa-b160-232b2ccb3cd9,amazon-obtains-right-to-buy-stock-in-generac-boosting-power-company-s-sh-mu4mlwr5,amazon-obtains-right-to-buy-stock-in-generac-boosting-power-company-s-sh,https://www.tradeflock.net/news/amazon-obtains-right-to-buy-stock-in-generac-boosting-power-company-s-sh-mu4mlwr5,https://www.tradeflock.net/news/amazon-obtains-right-to-buy-stock-in-generac-boosting-power-company-s-sh,content_key_suffix,OK,yes
5f2b0e86-008d-4259-8120-80c18a6fa3f6,amazon-prime-video-enters-short-form-news-market-to-challenge-social-vid-mu1ltl28,amazon-prime-video-enters-short-form-news-market-to-challenge-social-vid,https://www.tradeflock.net/news/amazon-prime-video-enters-short-form-news-market-to-challenge-social-vid-mu1ltl28,https://www.tradeflock.net/news/amazon-prime-video-enters-short-form-news-market-to-challenge-social-vid,content_key_suffix,OK,yes
93e96bbb-16fc-4a3c-bf12-d93e0e0da3e7,american-wage-growth-slows-against-inflation-as-ai-s-labor-market-impact-mu1ccyar,american-wage-growth-slows-against-inflation-as-ai-s-labor-market-impact,https://www.tradeflock.net/news/american-wage-growth-slows-against-inflation-as-ai-s-labor-market-impact-mu1ccyar,https://www.tradeflock.net/news/american-wage-growth-slows-against-inflation-as-ai-s-labor-market-impact,content_key_suffix,OK,yes
e02009c0-a467-4236-948e-8ab6f2b851de,ant-international-partners-with-visa-and-mastercard-on-ai-payment-standa-mtxbcfus,ant-international-partners-with-visa-and-mastercard-on-ai-payment-standa-mtxbcfu,https://www.tradeflock.net/news/ant-international-partners-with-visa-and-mastercard-on-ai-payment-standa-mtxbcfus,https://www.tradeflock.net/news/ant-international-partners-with-visa-and-mastercard-on-ai-payment-standa-mtxbcfu,content_key_suffix,OK,yes
bd47961b-4fcd-4e58-993a-3c21413981cd,anthropic-and-openai-ceos-call-for-ai-development-slowdown-and-delayed-i-mu1b1456,anthropic-and-openai-ceos-call-for-ai-development-slowdown-and-delayed-i,https://www.tradeflock.net/news/anthropic-and-openai-ceos-call-for-ai-development-slowdown-and-delayed-i-mu1b1456,https://www.tradeflock.net/news/anthropic-and-openai-ceos-call-for-ai-development-slowdown-and-delayed-i,content_key_suffix,OK,yes
4b8cbeac-986c-4da5-a6aa-59a873bb95db,anthropic-and-openai-push-embedded-ai-risk-evaluators-raising-structural-mu4a78z1,anthropic-and-openai-push-embedded-ai-risk-evaluators-raising-structural,https://www.tradeflock.net/news/anthropic-and-openai-push-embedded-ai-risk-evaluators-raising-structural-mu4a78z1,https://www.tradeflock.net/news/anthropic-and-openai-push-embedded-ai-risk-evaluators-raising-structural,content_key_suffix,OK,yes
509a00e9-83a6-4ac4-ad72-9bfef6cf10ce,anthropic-and-openai-push-to-embed-safety-evaluators-inside-ai-labs-mu4lhpau,anthropic-and-openai-push-to-embed-safety-evaluators-inside-ai-labs,https://www.tradeflock.net/news/anthropic-and-openai-push-to-embed-safety-evaluators-inside-ai-labs-mu4lhpau,https://www.tradeflock.net/news/anthropic-and-openai-push-to-embed-safety-evaluators-inside-ai-labs,content_key_suffix,OK,yes
60a2eea8-e4d4-4e7c-a774-442ed46eea65,anthropic-merges-claude-chat-and-cowork-into-a-single-interface-mu4bxnrd,anthropic-merges-claude-chat-and-cowork-into-a-single-interface,https://www.tradeflock.net/news/anthropic-merges-claude-chat-and-cowork-into-a-single-interface-mu4bxnrd,https://www.tradeflock.net/news/anthropic-merges-claude-chat-and-cowork-into-a-single-interface,content_key_suffix,OK,yes
2ac296b7-a6c9-4b56-8753-9da25b176dec,anthropic-releases-interactive-model-to-test-ai-impact-on-u-s-economy-mtxf89l8,anthropic-releases-interactive-model-to-test-ai-impact-on-u-s-economy,https://www.tradeflock.net/news/anthropic-releases-interactive-model-to-test-ai-impact-on-u-s-economy-mtxf89l8,https://www.tradeflock.net/news/anthropic-releases-interactive-model-to-test-ai-impact-on-u-s-economy,content_key_suffix,OK,yes
0617da9a-f50e-4bf2-b00f-9e1805783b9c,apple-deploys-long-delayed-siri-overhaul-with-ios-27-release-mu1j45xq,apple-deploys-long-delayed-siri-overhaul-with-ios-27-release,https://www.tradeflock.net/news/apple-deploys-long-delayed-siri-overhaul-with-ios-27-release-mu1j45xq,https://www.tradeflock.net/news/apple-deploys-long-delayed-siri-overhaul-with-ios-27-release,content_key_suffix,OK,yes
22244482-f3de-45f2-9202-2978971769d0,apple-rolls-out-redesigned-siri-ai-test-ahead-of-iphone-18-retail-debut-mu1ni8m4,apple-rolls-out-redesigned-siri-ai-test-ahead-of-iphone-18-retail-debut,https://www.tradeflock.net/news/apple-rolls-out-redesigned-siri-ai-test-ahead-of-iphone-18-retail-debut-mu1ni8m4,https://www.tradeflock.net/news/apple-rolls-out-redesigned-siri-ai-test-ahead-of-iphone-18-retail-debut,content_key_suffix,OK,yes
bd6e061b-0f6d-47a4-b997-49945fe9227b,apple-s-iphone-duo-faces-an-immediate-price-test-in-china-s-crowded-fold-mu1ucgo1,apple-s-iphone-duo-faces-an-immediate-price-test-in-china-s-crowded-fold,https://www.tradeflock.net/news/apple-s-iphone-duo-faces-an-immediate-price-test-in-china-s-crowded-fold-mu1ucgo1,https://www.tradeflock.net/news/apple-s-iphone-duo-faces-an-immediate-price-test-in-china-s-crowded-fold,content_key_suffix,OK,yes
1660e9c9-6fda-43d6-84de-47fe6ed1f96a,are-arx-fulc-and-efsi-securing-fair-valuations-for-ordinary-shareholders-mu2typ3z,are-arx-fulc-and-efsi-securing-fair-valuations-for-ordinary-shareholders,https://www.tradeflock.net/news/are-arx-fulc-and-efsi-securing-fair-valuations-for-ordinary-shareholders-mu2typ3z,https://www.tradeflock.net/news/are-arx-fulc-and-efsi-securing-fair-valuations-for-ordinary-shareholders,content_key_suffix,OK,yes
539b04b8-28c6-4d9d-b97e-81125b71d4b1,are-blfs-fthm-auud-and-vrme-securing-fair-transaction-terms-for-sharehol-mtx7o3z5,are-blfs-fthm-auud-and-vrme-securing-fair-transaction-terms-for-sharehol,https://www.tradeflock.net/news/are-blfs-fthm-auud-and-vrme-securing-fair-transaction-terms-for-sharehol-mtx7o3z5,https://www.tradeflock.net/news/are-blfs-fthm-auud-and-vrme-securing-fair-transaction-terms-for-sharehol,content_key_suffix,OK,yes
